Kabupaten/Kota,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Kabupaten Pacitan,352606,...,76.2,...,13.65,...
Kabupaten Ponorogo,395069,...,83.71,...,9.53,...
Kabupaten Trenggalek,411527,...,74.58,...,10.63,…
Kabupaten Tulungagung,423875,...,68.81,...,6.53,...
Kabupaten Blitar,387733,...,101.94,...,8.69,...
Kabupaten Kediri,385874,...,171.18,...,10.72,...
Kabupaten Malang,399647,...,251.36,...,9.45,...
Kabupaten Lumajang,386995,...,93.82,...,8.93,...
Kabupaten Jember,441171,...,236.46,...,9.51,...
Kabupaten Banyuwangi,448928,...,119.52,...,7.34,...
Kabupaten Bondowoso,494000,...,105.13,...,13.34,...
Kabupaten Situbondo,396587,...,82.62,...,11.9,...
Kabupaten Probolinggo,514274,...,205.02,...,17.19,...
Kabupaten Pasuruan,429624,...,154.09,...,9.24,...
Kabupaten Sidoarjo,571696,...,119.15,...,5,...
Kabupaten Mojokerto,486520,...,112.86,...,9.8,...
Kabupaten Jombang,488754,...,117.36,...,9.15,...
Kabupaten Nganjuk,513565,...,115.86,...,10.89,...
Kabupaten Madiun,437296,...,75.87,...,11.04,...
Kabupaten Magetan,431203,...,62.49,...,9.8,...
Kabupaten Ngawi,413947,...,121.3,...,14.4,...
Kabupaten Bojonegoro,435936,...,153.25,...,12.18,...
Kabupaten Tuban,454336,...,177.25,...,14.91,...
Kabupaten Lamongan,481969,...,149.94,...,12.42,...
Kabupaten Gresik,588316,...,149.75,...,10.96,...
Kabupaten Bangkalan,503207,...,196.66,...,19.35,...
Kabupaten Sampang,454716,...,221.71,...,21.76,...
Kabupaten Pamekasan,431127,...,126.43,...,13.85,...
Kabupaten Sumenep,471860,...,206.1,...,18.7,...
Kota Kediri,587723,...,21.03,...,7.15,...
Kota Blitar,568280,...,10.61,...,7.3,...
Kota Malang,674660,...,37.78,...,4.26,...
Kota Probolinggo,628380,...,15.86,...,6.48,...
Kota Pasuruan,529512,...,13.56,...,6.6,...
Kota Mojokerto,581006,...,7.65,...,5.77,...
Kota Madiun,605131,...,8.46,...,4.74,...
Kota Surabaya,718370,...,136.37,...,4.65,...
Kota Batu,613985,...,7.1,...,3.31,...
Jawa Timur,507286,...,4188.81,...,10.35,...
,,,,,,
Catatan,,,,,,
September 2023 tidak dilakukan penghitungan kemiskinan,,,,,,
