Kota/Kabupaten,Kepadatan_Penduduk_per_km2
Kabupaten Pacitan,410.0
Kabupaten Ponorogo,676.0
Kabupaten Trenggalek,593.0
Kabupaten Tulungagung,968.0
Kabupaten Blitar,718.0
Kabupaten Kediri,1101.0
Kabupaten Malang,782.0
Kabupaten Lumajang,634.0
Kabupaten Jember,781.0
Kabupaten Banyuwangi,485.0
Kabupaten Bondowoso,507.0
Kabupaten Situbondo,421.0
Kabupaten Probolinggo,682.0
Kabupaten Pasuruan,1101.0
Kabupaten Sidoarjo,2968.0
Kabupaten Mojokerto,1163.0
Kabupaten Jombang,1218.0
Kabupaten Nganjuk,872.0
Kabupaten Madiun,678.0
Kabupaten Magetan,965.0
Kabupaten Ngawi,631.0
Kabupaten Bojonegoro,571.0
Kabupaten Tuban,617.0
Kabupaten Lamongan,781.0
Kabupaten Gresik,1075.0
Kabupaten Bangkalan,839.0
Kabupaten Sampang,818.0
Kabupaten Pamekasan,1101.0
Kabupaten Sumenep,550.0
Kota Kediri,4391.0
Kota Blitar,4619.0
Kota Malang,7790.0
Kota Probolinggo,4517.0
Kota Pasuruan,5549.0
Kota Mojokerto,6732.0
Kota Madiun,5536.0
Kota Surabaya,8667.0
Kota Batu,1134.0
