Kota/Kabupaten,Kasus_DBD_per_100rb,CURAH_HUJAN_RATA2_22_23,CURAH_HUJAN_RATA2_23_24,CURAH_HUJAN_RATA2_TAHUNAN,Persen_Miskin,Kepadatan_Penduduk_per_km2,lon,lat
Kabupaten Pacitan,40,2375.25,1250.5,1812.875,13.65,410.0,111.0987,-8.2025
Kabupaten Ponorogo,12,2167.0,1000.5,1583.75,9.53,676.0,111.4674,-7.8710
Kabupaten Trenggalek,18,2167.0,1000.5,1583.75,10.63,593.0,111.7174,-8.0966
Kabupaten Tulungagung,20,2125.25,1000.5,1562.875,6.53,968.0,111.9015,-8.0657
Kabupaten Blitar,20,2167.0,1250.5,1708.75,8.69,718.0,111.7881,-8.1292
Kabupaten Kediri,20,2167.0,1000.5,1583.75,10.72,1101.0,112.0049,-7.8330
Kabupaten Malang,38,2167.0,1500.5,1833.75,9.45,782.0,112.7826,-8.2185
Kabupaten Lumajang,22,2125.25,1375.5,1750.375,8.93,634.0,113.225,-8.1172
Kabupaten Jember,23,2167.0,1250.5,1708.75,9.51,781.0,113.6876,-8.1726
Kabupaten Banyuwangi,20,1937.875,1000.5,1469.1875,7.34,485.0,114.3694,-8.2186
Kabupaten Bondowoso,29,2167.0,1250.5,1708.75,13.34,507.0,113.8136,-7.9158
Kabupaten Situbondo,56,1250.5,1000.5,1125.5,11.9,421.0,113.9443,-7.7066)
Kabupaten Probolinggo,62,1562.875,1500.5,1531.6875,17.19,682.0,113.1865,-7.7640
Kabupaten Pasuruan,15,1937.875,1500.5,1719.1875,9.24,1101.0,112.7427,-7.7470
Kabupaten Sidoarjo,5,1500.5,1000.5,1250.5,5.0,2968.0,112.7281,-7.4465
Kabupaten Mojokerto,20,1833.6666666666667,1250.5,1542.0833333333337,9.8,1163.0,112.4296,-7.5612
Kabupaten Jombang,2,1750.5,1250.5,1500.5,9.15,1218.0,112.2314,-7.5368
Kabupaten Nganjuk,20,2000.5,1250.5,1625.5,10.89,872.0,111.9005,-7.6074
Kabupaten Madiun,23,2000.5,1000.5,1500.5,11.04,678.0,111.5262,-7.6431
Kabupaten Magetan,21,2000.5,1000.5,1500.5,9.8,965.0,111.3323,-7.6546
Kabupaten Ngawi,48,2000.5,1250.5,1625.5,14.4,631.0,111.3351,-7.4146
Kabupaten Bojonegoro,18,1500.5,1000.5,1250.5,12.18,571.0,111.8831,-7.1501
Kabupaten Tuban,17,1250.5,1000.5,1125.5,14.91,617.0,111.8971,-6.8972
Kabupaten Lamongan,16,1500.5,1000.5,1250.5,12.42,781.0,112.3985,-7.1184
Kabupaten Gresik,13,1750.5,1000.5,1375.5,10.96,1075.0,112.6565,-7.1690
Kabupaten Bangkalan,7,1500.5,750.5,1125.5,19.35,839.0,112.8985,-7.0450
Kabupaten Sampang,29,1250.5,750.5,1000.5,21.76,818.0,113.2495,-7.0878
Kabupaten Pamekasan,42,1250.5,750.5,1000.5,13.85,1101.0,113.4912,-7.0495
Kabupaten Sumenep,28,1500.5,1000.5,1250.5,18.7,550.0,114.0086,-6.9913
Kota Kediri,29,2250.5,1250.5,1750.5,7.15,4391.0,112.0142,-7.8141
Kota Blitar,23,2250.5,1250.5,1750.5,7.3,4619.0,111.8049,-8.1031
Kota Malang,52,2250.5,1750.5,2000.5,4.26,7790.0,112.6304,-7.9797
Kota Probolinggo,95,750.5,1250.5,1000.5,6.48,4517.0,113.2215,-7.7576
Kota Pasuruan,32,1250.5,1250.5,1250.5,6.6,5549.0,112.7814,-7.6540
Kota Mojokerto,8,1750.5,1250.5,1500.5,5.77,6732.0,112.4344,-7.4731
Kota Madiun,80,2000.5,1000.5,1500.5,4.74,5536.0,111.5253,-7.6297
Kota Surabaya,7,1500.5,1000.5,1250.5,4.65,8667.0,112.7508,-7.26577
Kota Batu,61,2250.5,1750.5,2000.5,3.31,1134.0,112.5207,-7.8722
