Kota/Kabupaten,Kasus_DBD_per_100rb
Kabupaten Pacitan,40
Kabupaten Ponorogo,12
Kabupaten Trenggalek,18
Kabupaten Tulungagung,20
Kabupaten Blitar,20
Kabupaten Kediri,20
Kabupaten Malang,38
Kabupaten Lumajang,22
Kabupaten Jember,23
Kabupaten Banyuwangi,20
Kabupaten Bondowoso,29
Kabupaten Situbondo,56
Kabupaten Probolinggo,62
Kabupaten Pasuruan,15
Kabupaten Sidoarjo,5
Kabupaten Mojokerto,20
Kabupaten Jombang,2
Kabupaten Nganjuk,20
Kabupaten Madiun,23
Kabupaten Magetan,21
Kabupaten Ngawi,48
Kabupaten Bojonegoro,18
Kabupaten Tuban,17
Kabupaten Lamongan,16
Kabupaten Gresik,13
Kabupaten Bangkalan,7
Kabupaten Sampang,29
Kabupaten Pamekasan,42
Kabupaten Sumenep,28
Kota Kediri,29
Kota Blitar,23
Kota Malang,52
Kota Probolinggo,95
Kota Pasuruan,32
Kota Mojokerto,8
Kota Madiun,80
Kota Surabaya,7
Kota Batu,61
Kabupaten Jawa Timur,23
