Kota/Kabupaten,"lon","lat"
Kota Surabaya,112.7508,-7.26577
Kabupaten Sidoarjo,112.7281,-7.4465
Kabupaten Gresik,112.6565,-7.1690
Kota Mojokerto,112.4344,-7.4731
Kabupaten Mojokerto,112.4296,-7.5612
Kabupaten Jombang,112.2314,-7.5368
Kabupaten Lamongan,112.3985,-7.1184
Kabupaten Tuban,111.8971,-6.8972
Kabupaten Bojonegoro,111.8831,-7.1501
Kabupaten Ngawi,111.3351,-7.4146
Kabupaten Magetan,111.3323,-7.6546
Kabupaten Madiun,111.5262,-7.6431
Kota Madiun,111.5253,-7.6297
Kabupaten Ponorogo,111.4674,-7.8710
Kabupaten Pacitan,111.0987,-8.2025
Kabupaten Trenggalek,111.7174,-8.0966
Kabupaten Tulungagung,111.9015,-8.0657
Kabupaten Blitar,111.7881,-8.1292
Kota Blitar,111.8049,-8.1031
Kabupaten Kediri,112.0049,-7.8330
Kota Kediri,112.0142,-7.8141
Kabupaten Nganjuk,111.9005,-7.6074
Kabupaten Banyuwangi,114.3694,-8.2186
Kabupaten Jember,113.6876,-8.1726
Kabupaten Bondowoso,113.8136,-7.9158
Kabupaten Situbondo,113.9443,-7.7066)
Kabupaten Probolinggo,113.1865,-7.7640
Kota Probolinggo,113.2215,-7.7576
Kabupaten Pasuruan,112.7427,-7.7470
Kota Pasuruan,112.7814,-7.6540
Kabupaten Malang,112.7826,-8.2185
Kota Malang,112.6304,-7.9797
Kota Batu,112.5207,-7.8722
Kabupaten Lumajang,113.2250,-8.1172
Kabupaten Sumenep,114.0086,-6.9913
Kabupaten Pamekasan,113.4912,-7.0495
Kabupaten Sampang,113.2495,-7.0878
Kabupaten Bangkalan,112.8985,-7.0450
